team,ft_rate,team_key,three_rate,two_rate,two_pt_pct,three_pt_pct,efg_pct,pace,off_rating,def_rating,turnover_rate,ast_rate,orb_rate,net_rating,shot_selection_balance,source_season_label,source_date
Illinois Chicago,0.266,illinois chicago,0.33,0.67,0.507,0.317,0.49700000000000005,69.7,106.1,101.29999999999998,0.171,0.53,0.344,4.800000000000011,0.064,2025,2026-03-18
Illinois St,0.23600000000000002,illinois st,0.424,0.5760000000000001,0.546,0.348,0.536,69.1,107.80000000000001,99.9,0.165,0.502,0.273,7.900000000000006,0.18799999999999997,2025,2026-03-18
Incarnate Word,0.252,incarnate word,0.391,0.609,0.47700000000000004,0.361,0.502,67.2,104.80000000000001,111.60000000000001,0.16699999999999998,0.442,0.297,-6.799999999999997,0.139,2025,2026-03-18
Indiana,0.259,indiana,0.505,0.495,0.603,0.34700000000000003,0.561,69.0,113.39999999999999,104.60000000000001,0.147,0.625,0.243,8.799999999999983,0.246,2025,2026-03-18
Indiana St,0.201,indiana st,0.452,0.5479999999999999,0.574,0.316,0.529,71.7,100.0,104.80000000000001,0.191,0.649,0.228,-4.800000000000011,0.251,2025,2026-03-18
Iona,0.218,iona,0.45899999999999996,0.541,0.512,0.35100000000000003,0.519,71.6,103.1,102.1,0.168,0.537,0.24600000000000002,1.0,0.24099999999999996,2025,2026-03-18
Iowa,0.256,iowa,0.41600000000000004,0.584,0.5870000000000001,0.35700000000000004,0.5660000000000001,64.8,115.99999999999999,101.69999999999999,0.15,0.58,0.282,14.299999999999997,0.16000000000000003,2025,2026-03-18
Iowa St,0.256,iowa st,0.38799999999999996,0.612,0.555,0.387,0.565,69.7,117.30000000000001,93.4,0.147,0.584,0.33,23.900000000000006,0.13199999999999995,2025,2026-03-18
IU Indy,0.17,iu indy,0.42100000000000004,0.579,0.5479999999999999,0.324,0.522,76.7,105.5,116.3,0.156,0.619,0.264,-10.799999999999997,0.251,2025,2026-03-18
J Madison,0.261,j madison,0.425,0.575,0.532,0.354,0.531,69.4,107.69999999999999,107.3,0.16899999999999998,0.483,0.287,0.3999999999999915,0.16399999999999998,2025,2026-03-18
Jackson St,0.265,jackson st,0.433,0.5670000000000001,0.446,0.314,0.457,73.4,95.7,114.1,0.19,0.458,0.272,-18.39999999999999,0.16799999999999998,2025,2026-03-18
Jacksonville,0.242,jacksonville,0.374,0.626,0.515,0.317,0.5,67.0,103.69999999999999,112.1,0.16899999999999998,0.447,0.302,-8.400000000000006,0.132,2025,2026-03-18
Jacksonville St,0.305,jacksonville st,0.381,0.619,0.474,0.35700000000000004,0.49700000000000005,68.2,102.49999999999999,103.4,0.165,0.496,0.278,-0.9000000000000199,0.07600000000000001,2025,2026-03-18
Kansas,0.242,kansas,0.35700000000000004,0.643,0.511,0.35,0.516,70.4,107.4,98.5,0.151,0.533,0.28,8.900000000000006,0.11500000000000005,2025,2026-03-18
Kansas City,0.215,kansas city,0.368,0.632,0.47600000000000003,0.284,0.457,73.3,91.4,115.6,0.17800000000000002,0.462,0.245,-24.19999999999999,0.153,2025,2026-03-18
Kansas St,0.20199999999999999,kansas st,0.41,0.59,0.524,0.364,0.5329999999999999,75.4,105.5,108.5,0.171,0.577,0.271,-3.0,0.208,2025,2026-03-18
Kennesaw St,0.317,kennesaw st,0.429,0.5710000000000001,0.508,0.337,0.507,74.9,107.60000000000001,104.69999999999999,0.162,0.513,0.336,2.90000000000002,0.11199999999999999,2025,2026-03-18
Kent St,0.311,kent st,0.45,0.55,0.51,0.353,0.519,75.5,109.89999999999999,106.80000000000001,0.17600000000000002,0.566,0.34,3.09999999999998,0.139,2025,2026-03-18
Kentucky,0.27699999999999997,kentucky,0.392,0.608,0.544,0.341,0.531,71.4,113.1,103.4,0.147,0.57,0.325,9.699999999999989,0.11500000000000005,2025,2026-03-18
La Salle,0.27,la salle,0.315,0.685,0.456,0.3,0.45399999999999996,68.5,97.6,109.4,0.177,0.56,0.308,-11.800000000000011,0.044999999999999984,2025,2026-03-18
